session_id,user_id,age_group,gender,profession,hours_spending,preferred_artists,artist_id,musical_aspect,
10001,10001,18 - 24,Female,Student,0 - 1,Amarasiri Peris,1,Tempo/speed,
10002,10001,18 - 24,Female,Student,0 - 1,BnS,79,Tempo/speed,
10003,10001,18 - 24,Female,Student,0 - 1,Umariya Sinhawansha,3,Tempo/speed,
10004,10001,18 - 24,Female,Student,0 - 1,Daddy,4,Tempo/speed,
10005,10001,18 - 24,Female,Student,0 - 1,Kasun Kalhara,5,Tempo/speed,
10006,10001,18 - 24,Female,Student,0 - 1,Wayo,6,Tempo/speed,
10007,10001,18 - 24,Female,Student,0 - 1,Sanuka Wickramasinghe,7,Tempo/speed,
10008,10001,18 - 24,Female,Student,0 - 1,DanithSri,8,Tempo/speed,
10009,10002,25 - 34,Male,Working,2 - 3,Amarasiri Peris,1,Singer's Voice,
10010,10002,25 - 34,Male,Working,2 - 3,T.M Jayaratne,9,Singer's Voice,
10011,10002,25 - 34,Male,Working,2 - 3,Bachi Susan,10,Singer's Voice,
10012,10002,25 - 34,Male,Working,2 - 3,Iraj Weeraratne,11,Singer's Voice,
10013,10002,25 - 34,Male,Working,2 - 3,Daddy,4,Singer's Voice,
10014,10002,25 - 34,Male,Working,2 - 3,Lahiru Perera,12,Singer's Voice,
10015,10003,18 - 24,Female,Software Engineer,5 +,BnS,79,Singer's Voice,
10016,10003,18 - 24,Female,Software Engineer,5 +,Umariya Sinhawansha,3,Singer's Voice,
10017,10003,18 - 24,Female,Software Engineer,5 +,Daddy,4,Singer's Voice,
10018,10003,18 - 24,Female,Software Engineer,5 +,Billy Fernando,13,Singer's Voice,
10019,10003,18 - 24,Female,Software Engineer,5 +,Iraj Weeraratne,11,Singer's Voice,
10020,10003,18 - 24,Female,Software Engineer,5 +,Lahiru Perera,12,Singer's Voice,
10021,10003,18 - 24,Female,Software Engineer,5 +,Indrachapa Liyanage,14,Singer's Voice,
10022,10003,18 - 24,Female,Software Engineer,5 +,Kasun Kalhara,5,Singer's Voice,
10023,10003,18 - 24,Female,Software Engineer,5 +,Wayo,6,Singer's Voice,
10024,10003,18 - 24,Female,Software Engineer,5 +,Sanuka Wickramasinghe,7,Singer's Voice,
10025,10003,18 - 24,Female,Software Engineer,5 +,Ridma Weerawardene,15,Singer's Voice,
10026,10004,18 - 24,Male,software engineer,5 +,BnS,79,Singer's Voice,
10027,10004,18 - 24,Male,software engineer,5 +,Umariya Sinhawansha,3,Singer's Voice,
10028,10004,18 - 24,Male,software engineer,5 +,Iraj Weeraratne,11,Singer's Voice,
10029,10004,18 - 24,Male,software engineer,5 +,Daddy,4,Singer's Voice,
10030,10004,18 - 24,Male,software engineer,5 +,Lahiru Perera,12,Singer's Voice,
10031,10004,18 - 24,Male,software engineer,5 +,Billy Fernando,13,Singer's Voice,
10032,10004,18 - 24,Male,software engineer,5 +,Chitral Somapala,16,Singer's Voice,
10033,10004,18 - 24,Male,software engineer,5 +,W.D Amaradewa,17,Singer's Voice,
10034,10004,18 - 24,Male,software engineer,5 +,Indrachapa Liyanage,14,Singer's Voice,
10035,10004,18 - 24,Male,software engineer,5 +,Kasun Kalhara,5,Singer's Voice,
10036,10004,18 - 24,Male,software engineer,5 +,Wayo,6,Singer's Voice,
10037,10004,18 - 24,Male,software engineer,5 +,Sanuka Wickramasinghe,7,Singer's Voice,
10038,10004,18 - 24,Male,software engineer,5 +,Gypsis,40,Singer's Voice,
10039,10005,18 - 24,Male,Software Engineer,3 - 5,BnS,79,Instrument being used,
10040,10005,18 - 24,Male,Software Engineer,3 - 5,Umariya Sinhawansha,3,Instrument being used,
10041,10005,18 - 24,Male,Software Engineer,3 - 5,Iraj Weeraratne,11,Instrument being used,
10042,10005,18 - 24,Male,Software Engineer,3 - 5,Daddy,4,Instrument being used,
10043,10005,18 - 24,Male,Software Engineer,3 - 5,Lahiru Perera,12,Instrument being used,
10044,10005,18 - 24,Male,Software Engineer,3 - 5,Funcky Dirt,19,Instrument being used,
10045,10005,18 - 24,Male,Software Engineer,3 - 5,Indrachapa Liyanage,14,Instrument being used,
10046,10005,18 - 24,Male,Software Engineer,3 - 5,Kasun Kalhara,5,Instrument being used,
10047,10005,18 - 24,Male,Software Engineer,3 - 5,Wayo,6,Instrument being used,
10048,10006,18 - 24,Male,Software Engineer,3 - 5,Sanuka Wickramasinghe,7,Instrument being used,
10049,10006,18 - 24,Male,Software Engineer,3 - 5,Ridma Weerawardene,15,Instrument being used,
10050,10006,18 - 24,Male,Software Engineer,3 - 5,DanithSri,8,Instrument being used,
10051,10007,18 - 24,Male,Software Engineer,0 - 1,Amarasiri Peris,1,Tempo/speed,
10052,10007,18 - 24,Male,Software Engineer,0 - 1,BnS,79,Tempo/speed,
10053,10007,18 - 24,Male,Software Engineer,0 - 1,Bachi Susan,10,Tempo/speed,
10054,10007,18 - 24,Male,Software Engineer,0 - 1,Daddy,4,Tempo/speed,
10055,10007,18 - 24,Male,Software Engineer,0 - 1,Lahiru Perera,12,Tempo/speed,
10056,10007,18 - 24,Male,Software Engineer,0 - 1,Chitral Somapala,16,Tempo/speed,
10057,10007,18 - 24,Male,Software Engineer,0 - 1,W.D Amaradewa,17,Tempo/speed,
10058,10007,18 - 24,Male,Software Engineer,0 - 1,Indrachapa Liyanage,14,Tempo/speed,
10059,10008,18 - 24,Male,Software Engineer,0 - 1,Kasun Kalhara,5,Tempo/speed,
10060,10008,18 - 24,Male,Software Engineer,0 - 1,Wayo,6,Tempo/speed,
10061,10008,18 - 24,Male,Software Engineer,0 - 1,Sunil Edirisinghe,20,Tempo/speed,
10062,10008,18 - 24,Male,Software Engineer,0 - 1,Sanuka Wickramasinghe,7,Tempo/speed,
10063,10008,18 - 24,Male,Software Engineer,0 - 1,Ridma Weerawardene,15,Tempo/speed,
10064,10008,18 - 24,Male,Software Engineer,0 - 1,DanithSri,8,Tempo/speed,
10065,10009,18 - 24,Female,Undergraduate,0 - 1,Amarasiri Peris,1,Singer's Voice,
10066,10009,18 - 24,Female,Undergraduate,0 - 1,T.M Jayaratne,9,Singer's Voice,
10067,10009,18 - 24,Female,Undergraduate,0 - 1,Nirosha Virajini,21,Singer's Voice,
10068,10009,18 - 24,Female,Undergraduate,0 - 1,BnS,79,Singer's Voice,
10069,10009,18 - 24,Female,Undergraduate,0 - 1,Daddy,4,Singer's Voice,
10070,10009,18 - 24,Female,Undergraduate,0 - 1,Billy Fernando,13,Singer's Voice,
10071,10009,18 - 24,Female,Undergraduate,0 - 1,Samitha Mudunkotuwa,22,Singer's Voice,
10072,10009,18 - 24,Female,Undergraduate,0 - 1,Nelu Adikari,23,Singer's Voice,
10073,10009,18 - 24,Female,Undergraduate,0 - 1,Edward Jayakody,24,Singer's Voice,
10074,10010,18 - 24,Female,Undergraduate,0 - 1,W.D Amaradewa,17,Singer's Voice,
10075,10010,18 - 24,Female,Undergraduate,0 - 1,Indrachapa Liyanage,14,Singer's Voice,
10076,10010,18 - 24,Female,Undergraduate,0 - 1,Kasun Kalhara,5,Singer's Voice,
10077,10010,18 - 24,Female,Undergraduate,0 - 1,Neela Wickramasinghe,25,Singer's Voice,
10078,10010,18 - 24,Female,Undergraduate,0 - 1,Sunil Edirisinghe,20,Singer's Voice,
10079,10010,18 - 24,Female,Undergraduate,0 - 1,Sanuka Wickramasinghe,7,Singer's Voice,
10080,10010,18 - 24,Female,Undergraduate,0 - 1,Ridma Weerawardene,15,Singer's Voice,
10081,10010,18 - 24,Female,Undergraduate,0 - 1,DanithSri,8,Singer's Voice,
10082,10011,18 - 24,Female,Student,0 - 1,Amarasiri Peris,1,Instrument being used,
10083,10011,18 - 24,Female,Student,0 - 1,T.M Jayaratne,9,Instrument being used,
10084,10011,18 - 24,Female,Student,0 - 1,BnS,79,Instrument being used,
10085,10011,18 - 24,Female,Student,0 - 1,Bachi Susan,10,Instrument being used,
10086,10011,18 - 24,Female,Student,0 - 1,Umariya Sinhawansha,3,Instrument being used,
10087,10011,18 - 24,Female,Student,0 - 1,Lahiru Perera,12,Instrument being used,
10088,10011,18 - 24,Female,Student,0 - 1,Billy Fernando,13,Instrument being used,
10089,10011,18 - 24,Female,Student,0 - 1,Samitha Mudunkotuwa,22,Instrument being used,
10090,10011,18 - 24,Female,Student,0 - 1,Nelu Adikari,23,Instrument being used,
10091,10011,18 - 24,Female,Student,0 - 1,Edward Jayakody,24,Instrument being used,
10092,10012,18 - 24,Female,Student,0 - 1,Chitral Somapala,16,Instrument being used,
10093,10012,18 - 24,Female,Student,0 - 1,W.D Amaradewa,17,Instrument being used,
10094,10012,18 - 24,Female,Student,0 - 1,Indrachapa Liyanage,14,Instrument being used,
10095,10012,18 - 24,Female,Student,0 - 1,Kasun Kalhara,5,Instrument being used,
10096,10012,18 - 24,Female,Student,0 - 1,Charitha Priyadarshani,26,Instrument being used,
10097,10012,18 - 24,Female,Student,0 - 1,Lionel Ranwala,27,Instrument being used,
10098,10012,18 - 24,Female,Student,0 - 1,Neela Wickramasinghe,25,Instrument being used,
10099,10012,18 - 24,Female,Student,0 - 1,Wayo,6,Instrument being used,
10100,10012,18 - 24,Female,Student,0 - 1,Sunil Edirisinghe,20,Instrument being used,
10101,10012,18 - 24,Female,Student,0 - 1,Sanuka Wickramasinghe,7,Instrument being used,
10102,10012,18 - 24,Female,Student,0 - 1,Gypsis,40,Instrument being used,
10103,10012,18 - 24,Female,Student,0 - 1,Ridma Weerawardene,15,Instrument being used,
10104,10012,18 - 24,Female,Student,0 - 1,DanithSri,8,Instrument being used,
10105,10013,18 - 24,Female,UI engineer,3 - 5,T.M Jayaratne,9,The singer's voice,
10106,10013,18 - 24,Female,UI engineer,3 - 5,BnS,79,The singer's voice,
10107,10013,18 - 24,Female,UI engineer,3 - 5,Bachi Susan,10,The singer's voice,
10108,10013,18 - 24,Female,UI engineer,3 - 5,Umariya Sinhawansha,3,The singer's voice,
10109,10013,18 - 24,Female,UI engineer,3 - 5,Iraj Weeraratne,11,The singer's voice,
10110,10013,18 - 24,Female,UI engineer,3 - 5,Daddy,4,The singer's voice,
10111,10013,18 - 24,Female,UI engineer,3 - 5,Lahiru Perera,12,The singer's voice,
10112,10013,18 - 24,Female,UI engineer,3 - 5,Funky Dirt,19,The singer's voice,
10113,10013,18 - 24,Female,UI engineer,3 - 5,Billy Fernando,13,The singer's voice,
10114,10013,18 - 24,Female,UI engineer,3 - 5,Indrachapa Liyanage,14,The singer's voice,
10115,10115,18 - 24,Female,UI engineer,3 - 5,Kasun Kalhara,5,The singer's voice,
10116,10115,18 - 24,Female,UI engineer,3 - 5,Wayo,6,The singer's voice,
10117,10115,18 - 24,Female,UI engineer,3 - 5,Sunil Edirisinghe,20,The singer's voice,
10118,10115,18 - 24,Female,UI engineer,3 - 5,Sanuka Wickramasinghe,7,The singer's voice,
10119,10115,18 - 24,Female,UI engineer,3 - 5,Gypsis,40,The singer's voice,
10120,10115,18 - 24,Female,UI engineer,3 - 5,Ridma Weerawardene,15,The singer's voice,
10121,10115,18 - 24,Female,UI engineer,3 - 5,DanithSri,8,The singer's voice,
10122,10122,25 - 34,Female,Engineer,2 - 3,Amarasiri Peris,1,Tempo/speed,
10123,10122,25 - 34,Female,Engineer,2 - 3,T.M Jayaratne,9,Tempo/speed,
10124,10122,25 - 34,Female,Engineer,2 - 3,Nirosha Virajini,21,Tempo/speed,
10125,10122,25 - 34,Female,Engineer,2 - 3,Dasun Madushan,29,Tempo/speed,
10126,10122,25 - 34,Female,Engineer,2 - 3,BnS,79,Tempo/speed,
10127,10122,25 - 34,Female,Engineer,2 - 3,Umariya Sinhawansha,3,Tempo/speed,
10128,10122,25 - 34,Female,Engineer,2 - 3,Iraj Weeraratne,11,Tempo/speed,
10129,10122,25 - 34,Female,Engineer,2 - 3,Lahiru Perera,12,Tempo/speed,
10130,10122,25 - 34,Female,Engineer,2 - 3,Samitha Mudunkotuwa,22,Tempo/speed,
10131,10122,25 - 34,Female,Engineer,2 - 3,Nelu Adikari,23,Tempo/speed,
10132,10122,25 - 34,Female,Engineer,2 - 3,Edward Jayakody,24,Tempo/speed,
10133,10122,25 - 34,Female,Engineer,2 - 3,Kasun Kalhara,5,Tempo/speed,
10134,10134,25 - 34,Female,Engineer,2 - 3,Wayo,6,Tempo/speed,
10135,10134,25 - 34,Female,Engineer,2 - 3,Sunil Edirisinghe,20,Tempo/speed,
10136,10134,25 - 34,Female,Engineer,2 - 3,Sanuka Wickramasinghe,7,Tempo/speed,
10137,10134,25 - 34,Female,Engineer,2 - 3,Ridma Weerawardene,15,Tempo/speed,
10138,10134,25 - 34,Female,Engineer,2 - 3,Nadeemal Perera,30,Tempo/speed,
10139,10139,18 - 24,Female,student,2 - 3,Ridma Weerawardane,15,The singer's voice,
10140,10139,18 - 24,Female,student,2 - 3,DanithSri,8,The singer's voice,
10141,10141,18 - 24,Male,Marketer,2 - 3,Amarasiri Peris,1,The instrument being used,
10142,10141,18 - 24,Male,Marketer,2 - 3,T.M Jayaratne,9,The instrument being used,
10143,10141,18 - 24,Male,Marketer,2 - 3,BnS,79,The instrument being used,
10144,10141,18 - 24,Male,Marketer,2 - 3,Daddy,4,The instrument being used,
10145,10141,18 - 24,Male,Marketer,2 - 3,W.D Amaradewa,17,The instrument being used,
10146,10141,18 - 24,Male,Marketer,2 - 3,Kasun Kalhara,5,The instrument being used,
10147,10141,18 - 24,Male,Marketer,2 - 3,Sunil Edirisinghe,20,The instrument being used,
10148,10141,18 - 24,Male,Marketer,2 - 3,Gypsis,40,The instrument being used,
10149,10141,18 - 24,Male,Marketer,2 - 3,Ridma Weerawardane,15,The instrument being used,
10150,10150,18 - 24,Female,Student,0 - 1,Amarasiri Peris ,1,Tempo/speed,
10151,10150,18 - 24,Female,Student,0 - 1,Billy Fernando,13,Tempo/speed,
10152,10150,18 - 24,Female,Student,0 - 1,Indrachapa Liyanage,14,Tempo/speed,
10153,10150,18 - 24,Female,student,0 - 1,Amarasiri Peris,1,The singer's voice,
10154,10150,18 - 24,Female,student,0 - 1,T.M Jayaratne,9,The singer's voice,
10155,10150,18 - 24,Female,student,0 - 1,BnS,79,The singer's voice,
10156,10150,18 - 24,Female,student,0 - 1,Bachi Susan,10,The singer's voice,
10157,10150,18 - 24,Female,student,0 - 1,Funky Dirt,19,The singer's voice,
10158,10150,18 - 24,Female,student,0 - 1,Wayo,6,The singer's voice,
10159,10150,18 - 24,Female,student,0 - 1,Gypsis,40,The singer's voice,
10160,10150,18 - 24,Female,student,0 - 1,Ridma Weerawardane,15,The singer's voice,
10161,10161,25 - 34,Male,Undergraduate,0 - 1,BnS,79,Tempo/speed,
10162,10161,25 - 34,Male,Undergraduate,0 - 1,Umariya Sinhawansha,3,Tempo/speed,
10163,10161,25 - 34,Male,Undergraduate,0 - 1,Daddy,4,Tempo/speed,
10164,10161,25 - 34,Male,Undergraduate,0 - 1,Funcky Dirt,19,Tempo/speed,
10165,10161,25 - 34,Male,Undergraduate,0 - 1,Kasun Kalhara,5,Tempo/speed,
10166,10161,25 - 34,Male,Undergraduate,0 - 1,Sanuka Wickramasinghe,7,Tempo/speed,
10167,10161,25 - 34,Male,Undergraduate,0 - 1,Api Machan,33,Tempo/speed,
10168,10161,25 - 34,Male,Undergraduate,2 - 3,Ridma Weerawardane,15,Tempo/speed,
10169,10161,25 - 34,Male,Undergraduate,2 - 3,DanithSri,8,Tempo/speed,
10170,10161,25 - 34,Male,Undergraduate,2 - 3,Wayo,6,Tempo/speed,
10171,10161,25 - 34,Male,Undergraduate,2 - 3,Charith Attalage,28,Tempo/speed,
10172,10161,25 - 34,Male,Undergraduate,2 - 3,Ravi Jay,34,Tempo/speed,
10173,10173,25 - 34,Male,student,2 - 3,Amarasiri Peris,1,The singer's voice,
10174,10173,25 - 34,Male,student,2 - 3,T.M Jayaratne,9,The singer's voice,
10175,10173,25 - 34,Male,student,2 - 3,Dasun Madushan,29,The singer's voice,
10176,10173,25 - 34,Male,student,2 - 3,Umariya Sinhawansha,3,The singer's voice,
10177,10173,25 - 34,Male,student,2 - 3,Daddy,4,The singer's voice,
10178,10173,25 - 34,Male,student,2 - 3,Kasun Kalhara,5,The singer's voice,
10179,10173,25 - 34,Male,student,2 - 3,Wayo,6,The singer's voice,
10180,10173,25 - 34,Male,student,2 - 3,Sunil Edirisinghe,20,The singer's voice,
10181,10173,25 - 34,Male,student,2 - 3,Sanuka Wickramasinghe,7,The singer's voice,
10182,10173,25 - 34,Male,student,2 - 3,Ridma Weerawardane,15,The singer's voice,
10183,10173,25 - 34,Male,student,2 - 3,DanithSri,8,The singer's voice,
10184,10184,18 - 24,Female,Student,2 - 3,Amarasiri Peris,1,Music,
10185,10184,18 - 24,Female,Student,2 - 3,T.M Jayaratne,9,Music,
10186,10184,18 - 24,Female,Student,2 - 3,Nirosha Virajini,21,Music,
10187,10184,18 - 24,Female,Student,2 - 3,BnS,79,Music,
10188,10184,18 - 24,Female,Student,2 - 3,Umariya Sinhawansha,3,Music,
10189,10184,18 - 24,Female,Student,2 - 3,Daddy,4,Music,
10190,10184,18 - 24,Female,Student,2 - 3,Lahiru Perera,12,Music,
10191,10184,18 - 24,Female,Student,2 - 3,Funky Dirt,19,Music,
10192,10184,18 - 24,Female,Student,2 - 3,Billy Fernando,13,Music,
10193,10184,18 - 24,Female,Student,2 - 3,Samitha Mudunkotuwa,22,Music,
10194,10184,18 - 24,Female,Student,2 - 3,Nelu Adikari,23,Music,
10195,10195,18 - 24,Female,Student,2 - 3,Edward Jayakody,24,Music,
10196,10195,18 - 24,Female,Student,2 - 3,W.D Amaradewa,17,Music,
10197,10195,18 - 24,Female,Student,2 - 3,Indrachapa Liyanage,14,Music,
10198,10195,18 - 24,Female,Student,2 - 3,Kasun Kalhara,5,Music,
10199,10195,18 - 24,Female,Student,2 - 3,Charitha Priyadarshani,26,Music,
10200,10195,18 - 24,Female,Student,2 - 3,Neela Wickramasinghe,25,Music,
10201,10195,18 - 24,Female,Student,2 - 3,Wayo,6,Music,
10202,10195,18 - 24,Female,Student,2 - 3,Sunil Edirisinghe,20,Music,
10203,10195,18 - 24,Female,Student,2 - 3,Ridma Weerawardane,15,Music,
10204,10195,18 - 24,Female,Student,2 - 3,DanithSri,8,Music,
10205,10205,18 - 24,Male,student,2 - 3,Nirosha Virajini,21,Music,
10206,10205,18 - 24,Male,student,2 - 3,BnS,79,Music,
10207,10205,18 - 24,Male,student,2 - 3,Bachi Susan,10,Music,
10208,10205,18 - 24,Male,student,2 - 3,Umariya Sinhawansha,3,Music,
10209,10205,18 - 24,Male,student,2 - 3,lahiru Perera,12,Music,
10210,10205,18 - 24,Male,student,2 - 3,Kasun Kalhara,5,Music,
10211,10205,18 - 24,Male,student,2 - 3,Sanuka Wickramasinghe,7,Music,
10212,10212,18 - 24,Female,Student,2 - 3,Amarasiri Peris,1,The message of the song,
10213,10212,18 - 24,Female,Student,2 - 3,BnS,79,The message of the song,
10214,10212,18 - 24,Female,Student,2 - 3,umariya Sinhawansha,3,The message of the song,
10215,10212,18 - 24,Female,Student,2 - 3,Samitha Mudunkotuwa,22,The message of the song,
10216,10212,18 - 24,Female,Student,2 - 3,Nelu Adikari,23,The message of the song,
10217,10212,18 - 24,Female,Student,2 - 3,Indrachapa Liyanage,14,The message of the song,
10218,10212,18 - 24,Female,Student,2 - 3,Kasun Kalhara,5,The message of the song,
10219,10212,18 - 24,Female,Student,2 - 3,Sanuka Wickramasinghe,7,The message of the song,
10220,10212,18 - 24,Female,Student,2 - 3,Ridma Weerawardane,15,The message of the song,
10221,10212,18 - 24,Female,Student,2 - 3,DanithSri,8,The message of the song,
10222,10222,18 - 24,Female,Business Analyst,2 - 3,Amarasiri Peris,1,Music,
10223,10222,18 - 24,Female,Business Analyst,2 - 3,T.M Jayaratne,9,Music,
10224,10222,18 - 24,Female,Business Analyst,2 - 3,DanithSri,8,Music,
10225,10225,18 - 24,Female,AL Teacher,5 +,BnS,79,Music,
10226,10225,18 - 24,Female,AL Teacher,5 +,Umariya Sinhawansha,3,Music,
10227,10225,18 - 24,Female,AL Teacher,5 +,Billy Fernando,13,Music,
10228,10225,18 - 24,Female,AL Teacher,5 +,Indrachapa Liyanage,14,Music,Damith Asanka
10229,10225,18 - 24,Female,AL Teacher,5 +,Kasun Kalhara,5,Music,
10230,10225,18 - 24,Female,AL Teacher,5 +,Sanuka Wickramasinghe,7,Music,
10231,10231,18 - 24,Female,Student,2 - 3,Bachi Susan,10,Music,
10232,10231,18 - 24,Female,Student,2 - 3,Iraj Weeraratne,11,Music,
10233,10231,18 - 24,Female,Student,2 - 3,Funky Dirt,19,Music,
10234,10231,18 - 24,Female,Student,2 - 3,Chitral Somapala,16,Music,
10235,10231,18 - 24,Female,Student,2 - 3,Lionel Ranwala,27,Music,
10236,10231,18 - 24,Female,Student,2 - 3,Amarasiri Peris,1,Tempo/speed,
10237,10231,18 - 24,Female,Student,2 - 3,T.M Jayaratne,9,Tempo/speed,
10238,10231,18 - 24,Female,Student,2 - 3,Nirosha Virajini,21,Tempo/speed,
10239,10231,18 - 24,Female,Student,2 - 3,BnS,79,Tempo/speed,
10240,10231,18 - 24,Female,Student,2 - 3,Umariya Sinhawansha,3,Tempo/speed,
10241,10231,18 - 24,Female,Student,2 - 3,Lahiru Perera,12,Tempo/speed,
10242,10242,18 - 24,Female,Student,2 - 3,Billy Fernando,13,Tempo/speed,
10243,10242,18 - 24,Female,Student,2 - 3,Edward Jayakody,24,Tempo/speed,
10244,10242,18 - 24,Female,Student,2 - 3,W.D Amaradewa,17,Tempo/speed,
10245,10242,18 - 24,Female,Student,2 - 3,Kasun Kalhara,5,Tempo/speed,
10246,10242,18 - 24,Female,Student,2 - 3,Sunil Edirisinghe,20,Tempo/speed,
10247,10242,18 - 24,Female,Student,2 - 3,Sanuka Wickramasinghe,7,Tempo/speed,
10248,10242,18 - 24,Female,Student,2 - 3,Ridma Weerawardane,15,Tempo/speed,
10249,10242,18 - 24,Female,Student,2 - 3,DanithSri,8,Tempo/speed,
10250,10250,18 - 24,Female,Business Analyst,0 - 1,Amarasiri Peris,1,Music,
10251,10250,18 - 24,Female,Business Analyst,0 - 1,BnS,79,Music,
10252,10250,18 - 24,Female,Business Analyst,0 - 1,Umariya Sinhawansha,3,Music,
10253,10250,18 - 24,Female,Business Analyst,0 - 1,Daddy,4,Music,
10254,10250,18 - 24,Female,Business Analyst,0 - 1,Lahiru Perera,12,Music,
10255,10250,18 - 24,Female,Business Analyst,0 - 1,Kasun Kalhara,5,Music,
10256,10250,18 - 24,Female,Business Analyst,0 - 1,Wayo,6,Music,
10257,10250,18 - 24,Female,Business Analyst,0 - 1,Sanuka Wickramasinghe,7,Music,
10258,10250,18 - 24,Female,Business Analyst,0 - 1,Ridma Weerawardane,15,Music,
10259,10259,18 - 24,Female,Student,0 - 1,Daddy,4,The singer's voice,
10260,10259,18 - 24,Female,Student,0 - 1,Chitral Somapala,16,The singer's voice,
10261,10259,18 - 24,Female,Student,0 - 1,Indrachapa Liyanage,14,The singer's voice,
10262,10259,18 - 24,Female,Student,0 - 1,Kasun Kalhara,5,The singer's voice,
10263,10259,18 - 24,Female,Student,0 - 1,Sanuka Wickramasinghe,7,The singer's voice,
10264,10259,18 - 24,Female,Student,0 - 1,DanithSri,8,The singer's voice,
10265,10265,25 - 34,Female,Engineer,2 - 3,Amarasiri Peris,1,Music,
10266,10265,25 - 34,Female,Engineer,2 - 3,T.M Jayaratne,9,Music,
10267,10265,25 - 34,Female,Engineer,2 - 3,Nirosha Virajini,21,Music,
10268,10265,25 - 34,Female,Engineer,2 - 3,BnS,79,Music,
10269,10265,25 - 34,Female,Engineer,2 - 3,Iraj Weeraratne,11,Music,
10270,10265,25 - 34,Female,Engineer,2 - 3,Daddy,4,Music,
10271,10265,25 - 34,Female,Engineer,2 - 3,Lahiru Perera,12,Music,
10272,10265,25 - 34,Female,Engineer,2 - 3,Billy Fernando,13,Music,
10273,10265,25 - 34,Female,Engineer,2 - 3,Samitha Mudunkotuwa,22,Music,
10274,10265,25 - 34,Female,Engineer,2 - 3,Edward Jayakody,24,Music,
10275,10265,25 - 34,Female,Engineer,2 - 3,Chitral Somapala,16,Music,
10276,10276,25 - 34,Female,Engineer,2 - 3,W.D Amaradewa,17,Music,
10277,10276,25 - 34,Female,Engineer,2 - 3,Indrachapa Liyanage,14,Music,
10278,10276,25 - 34,Female,Engineer,2 - 3,Kasun Kalhara,5,Music,
10279,10276,25 - 34,Female,Engineer,2 - 3,Lionel Ranwala,27,Music,
10280,10276,25 - 34,Female,Engineer,2 - 3,Wayo,6,Music,
10281,10276,25 - 34,Female,Engineer,2 - 3,Sunil Edirisinghe,20,Music,
10282,10282,18 - 24,Male,Undergraduate,2 - 3,BnS,79,Tempo/speed,
10283,10282,18 - 24,Male,Undergraduate,2 - 3,Umariya Sinhawansha,3,Tempo/speed,
10284,10284,18 - 24,Female,Student,2 - 3,T.M Jayaratne,9,The message of the song,
10285,10284,18 - 24,Female,Student,2 - 3,W.D Amaradewa,17,The message of the song,
10286,10284,18 - 24,Female,Student,2 - 3,Wayo,6,The message of the song,
10287,10284,18 - 24,Female,Student,0 - 1,Amarasiri Peris,1,The instrument being used,
10288,10284,18 - 24,Female,Student,0 - 1,BnS,79,The instrument being used,
10289,10284,18 - 24,Female,Student,0 - 1,Umariya Sinhawansha,3,The instrument being used,
10290,10284,18 - 24,Female,Student,0 - 1,Kasun Kalhara,5,The instrument being used,
10291,10284,18 - 24,Female,Student,0 - 1,Wayo,6,The instrument being used,
10292,10284,18 - 24,Female,Student,0 - 1,Sanuka Wickramasinghe,7,The instrument being used,
10293,10284,18 - 24,Female,Student,0 - 1,Ridma Weerawardane,15,The instrument being used,
10294,10284,25 - 34,Female,Student,0 - 1,Amarasiri Peris,1,The message of the song,
10295,10284,25 - 34,Female,Student,0 - 1,BnS,79,The message of the song,
10296,10296,25 - 34,Female,Student,0 - 1,Umariya Sinhawansha,3,The message of the song,
10297,10296,25 - 34,Female,Student,0 - 1,Billy Fernando,13,The message of the song,
10298,10296,25 - 34,Female,Student,0 - 1,Indrachapa Liyanage,14,The message of the song,
10299,10296,25 - 34,Female,Student,0 - 1,Kasun Kalhara,5,The message of the song,
10300,10296,25 - 34,Female,Student,0 - 1,Sanuka Wickramasinghe,7,The message of the song,
10301,10296,25 - 34,Female,Student,0 - 1,Gypsis,40,The message of the song,
10302,10296,25 - 34,Female,Student,0 - 1,Ridma Weerawardane,15,The message of the song,
10303,10296,25 - 34,Female,Student,0 - 1,DanithSri,8,The message of the song,
10304,10296,18 - 24,Female,Student,0 - 1,Lahiru Perera,12,Tempo/speed,
10305,10296,18 - 24,Female,Student,2 - 3,Nirosha Virajini,21,The message of the song,
10306,10296,18 - 24,Female,Student,2 - 3,Edward Jayakody,24,The message of the song,
10307,10307,25 - 34,Male,Executive,5 +,Amarasiri Peris,1,Music,
10308,10307,25 - 34,Male,Executive,5 +,T.M Jayaratne,9,Music,
10309,10307,25 - 34,Male,Executive,5 +,Nirosha Virajini,21,Music,
10310,10307,25 - 34,Male,Executive,5 +,BnS,79,Music,
10311,10307,25 - 34,Male,Executive,5 +,Umariya Sinhawansha,3,Music,
10312,10307,25 - 34,Male,Executive,5 +,Samitha Mudunkotuwa,22,Music,
10313,10307,25 - 34,Male,Executive,5 +,Nelu Adikari,23,Music,
10314,10307,25 - 34,Male,Executive,5 +,Edward Jayakody,24,Music,
10315,10307,25 - 34,Male,Executive,5 +,Chitral Somapala,16,Music,
10316,10307,25 - 34,Male,Executive,5 +,W.D Amaradewa,17,Music,
10317,10307,25 - 34,Male,Executive,5 +,Indrachapa Liyanage,14,Music,
10318,10307,25 - 34,Male,Executive,5 +,Kasun Kalhara,5,Music,
